gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnBinary
Male,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.81,89.56,No,0
Male,0,No,No,7,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,13.93,93.64,No,0
Female,0,Yes,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,15.8,655.2,No,0
Male,0,No,No,24,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,78.46,1884.94,No,0
Female,0,No,Yes,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,86.59,440.51,Yes,1
Female,0,No,No,13,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.54,712.06,Yes,1
Female,1,No,No,36,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,84.9,3060.42,No,0
Male,0,Yes,Yes,50,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,60.18,3017.24,No,0
Female,1,No,No,72,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,67.66,4878.49,No,0
Male,0,No,Yes,42,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),75.22,3160.4,No,0
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Electronic check,86.25,6214.37,No,0
Female,1,No,Yes,2,Yes,Yes,DSL,Yes,No,No,No,No,No,One year,No,Credit card (automatic),56.7,115.79,No,0
Female,0,No,No,54,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,62.65,3386.61,No,0
Female,0,No,No,12,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,76.89,911.17,No,0
Female,0,No,Yes,12,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.49,1058.02,No,0
Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,81.25,3964.13,Yes,1
Female,0,No,Yes,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),31.76,1021.92,No,0
Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,89.24,6429.31,No,0
Male,0,Yes,No,1,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.43,74.45,Yes,1
Male,0,Yes,Yes,23,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.96,1823.45,Yes,1
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.47,64.83,No,0
Female,0,Yes,Yes,21,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,48.69,1021.07,No,0
Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),93.94,381.15,Yes,1
Male,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),29.66,1884.08,No,0
Female,1,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),36.75,58.99,No,0
Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),79.35,5000.62,No,0
Male,1,No,No,5,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),49.41,252.8,No,0
Male,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,72.07,361.37,No,0
Male,0,Yes,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.41,986.2,No,0
Male,0,No,Yes,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,22.54,710.59,No,0
Female,0,No,No,7,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,76.68,546.94,No,0
Female,0,Yes,Yes,10,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.77,601.63,No,0
Female,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.47,225.86,Yes,1
Female,0,No,No,19,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),45.59,876.65,No,0
Female,1,Yes,No,35,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),91.74,3207.99,No,0
Male,0,No,No,8,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,64.11,513.24,Yes,1
Female,0,Yes,No,11,No,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),54.77,589.98,No,0
Female,0,Yes,No,1,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,53.87,67.98,Yes,1
Male,0,No,No,7,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,66.7,459.97,Yes,1
Female,0,No,Yes,5,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,73.95,378.76,No,0
Male,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,75.24,2476.13,No,0
Female,1,Yes,No,13,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,80.9,1047.41,No,0
Male,0,Yes,No,13,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,71.58,929.22,Yes,1
Female,0,Yes,No,14,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),53.67,749.49,No,0
Female,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,68.46,141.93,No,0
Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,17.61,95.13,Yes,1
Male,0,Yes,No,3,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.7,189.8,Yes,1
Male,0,No,No,11,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),51.32,584.57,Yes,1
Male,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Electronic check,90.03,717.68,No,0
Male,0,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,13.32,91.06,Yes,1
Male,0,No,Yes,23,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.53,1254.35,Yes,1
Male,0,No,Yes,1,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),69.24,63.31,No,0
Male,0,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,83.84,79.51,Yes,1
Female,0,No,No,34,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,80.35,2738.21,No,0
Female,0,No,No,22,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,92.55,2048.17,No,0
Male,1,No,Yes,7,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),79.53,572.36,No,0
Female,1,No,No,72,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.25,3917.58,No,0
Female,0,No,No,59,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),74.3,4378.15,No,0
Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.14,168.57,No,0
Female,0,Yes,No,6,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,80.29,487.8,Yes,1
Male,0,No,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Mailed check,89.49,173.78,No,0
Female,1,No,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,31.4,1604.98,No,0
Male,0,Yes,Yes,28,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),74.12,2094.75,No,0
Female,1,No,Yes,14,No,No phone service,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,82.94,1150.03,Yes,1
Female,1,Yes,No,11,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),48.3,534.22,No,0
Female,0,Yes,Yes,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),23.66,863.92,No,0
Male,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,54.52,125.45,No,0
Female,0,Yes,No,67,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,74.76,5004.23,No,0
Male,1,No,No,9,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),63.8,572.44,Yes,1
Female,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),82.06,174.37,Yes,1
Male,1,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,17.77,1245.28,No,0
Female,0,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),81.4,487.8,No,0
Male,0,Yes,No,72,No,No phone service,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),58.53,4228.75,No,0
Male,1,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.96,87.2,No,0
Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.53,240.06,No,0
Male,0,Yes,No,21,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.68,447.84,No,0
Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,100.24,3282.96,No,0
Female,0,No,No,72,No,No phone service,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Mailed check,78.1,5655.0,No,0
Female,0,Yes,No,30,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),90.1,2706.85,No,0
Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.81,261.27,Yes,1
Female,1,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,71.47,2279.49,No,0
Female,1,Yes,Yes,28,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,98.44,2766.36,No,0
Female,0,Yes,Yes,26,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,75.72,1965.61,No,0
Female,0,Yes,No,5,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,83.82,412.98,No,0
Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.54,439.95,No,0
Female,0,Yes,No,27,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),82.16,2217.05,No,0
Female,1,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,24.14,115.31,Yes,1
Male,0,Yes,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,55.21,218.62,No,0
Male,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,29.12,404.23,No,0
Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.69,72.27,No,0
Female,0,Yes,Yes,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),28.59,426.22,Yes,1
Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,Yes,Electronic check,89.57,99.64,No,0
Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,33.22,2389.96,No,0
Female,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.65,140.93,No,0
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.77,36.44,No,0
Female,0,No,No,28,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),80.4,2239.41,No,0
Female,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,15.61,124.5,No,0
Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.5,284.37,Yes,1
Female,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.07,463.15,Yes,1
Male,0,No,No,55,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),71.47,3929.51,No,0
Female,0,No,No,1,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,72.66,71.72,No,0
Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,94.96,4473.9,No,0
Male,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,79.34,1260.86,Yes,1
Female,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.07,18.8,No,0
Male,1,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),89.81,6462.13,No,0
Female,0,No,No,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),92.41,93.05,Yes,1
Female,1,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,80.5,1055.93,No,0
Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.37,304.08,No,0
Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.96,1446.37,No,0
Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.62,29.72,Yes,1
Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.87,1059.31,Yes,1
Male,0,No,Yes,4,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.67,291.61,Yes,1
Male,0,No,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.63,110.14,No,0
Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,91.19,636.06,No,0
Female,0,No,Yes,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),46.23,89.38,No,0
Male,0,No,No,6,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),58.02,356.57,Yes,1
Female,1,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.67,586.01,No,0
Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),82.43,2145.11,No,0
Female,0,No,Yes,6,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,66.96,388.13,No,0
Male,0,No,Yes,3,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,54.84,170.1,No,0
Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.62,1889.35,No,0
Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,31.98,2310.77,Yes,1
Male,0,Yes,No,72,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),47.99,3459.21,No,0
Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),77.62,82.55,Yes,1
Male,0,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.97,138.37,No,0
Male,0,Yes,No,22,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),91.95,2031.77,No,0
Male,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),79.21,3640.54,No,0
Male,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,17.7,167.4,No,0
Female,0,No,No,13,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),76.14,998.95,No,0
Male,0,No,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.73,122.34,No,0
Female,0,Yes,Yes,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.76,679.64,No,0
Female,1,Yes,Yes,44,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Electronic check,60.92,2675.25,No,0
Female,1,No,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,70.06,214.18,No,0
Male,1,Yes,No,20,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.5,612.32,No,0
Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,79.99,305.28,Yes,1
Male,0,Yes,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.91,1062.72,No,0
Male,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.18,1245.36,No,0
Female,0,Yes,No,54,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,80.04,4324.4,No,0
Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),91.93,641.68,No,0
Male,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),51.49,59.88,Yes,1
Male,1,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Electronic check,91.3,78.47,Yes,1
Male,0,Yes,Yes,6,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),94.99,563.47,Yes,1
Male,1,Yes,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.79,116.92,No,0
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),82.08,83.87,No,0
Male,0,Yes,No,72,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,49.17,3528.22,No,0
Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,80.99,2332.48,No,0
Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,93.71,2539.52,No,0
Female,0,No,Yes,31,No,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,81.46,2506.05,Yes,1
Male,0,No,Yes,10,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),75.3,751.24,No,0
Male,0,No,No,24,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),76.87,1841.72,No,0
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.19,151.35,Yes,1
Female,1,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,94.09,1223.82,Yes,1
Female,0,No,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),27.44,255.12,No,0
Male,1,Yes,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),84.95,1706.62,Yes,1
Female,0,Yes,No,5,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),60.98,300.69,No,0
Male,0,No,No,7,No,No phone service,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.65,557.94,No,0
Male,0,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,87.87,88.37,Yes,1
Female,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.06,405.08,Yes,1
Female,0,Yes,Yes,8,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.29,452.04,No,0
Male,0,No,No,37,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),67.3,2511.75,Yes,1
Male,0,Yes,Yes,72,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Mailed check,51.21,3693.46,No,0
Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Electronic check,83.15,243.12,No,0
Female,0,No,No,15,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),62.57,950.35,No,0
Female,0,Yes,No,35,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.16,1615.42,No,0
Male,0,Yes,No,10,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,No,Credit card (automatic),67.9,694.59,No,0
Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.1,99.22,No,0
Male,0,No,No,43,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),54.36,2329.34,No,0
Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Mailed check,79.86,160.32,No,0
Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Electronic check,91.67,543.46,Yes,1
Male,0,No,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.38,183.74,No,0
Female,0,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),83.92,165.29,No,0
Male,0,No,No,32,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,68.9,2201.68,No,0
Male,0,Yes,No,72,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),58.4,4196.03,No,0
Male,0,No,No,1,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,84.12,74.23,No,0
Female,1,No,Yes,48,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,55.92,2677.41,No,0
Male,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.86,1697.52,Yes,1
